Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
54,,Dindori,114.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.7,2.0,0.0,0.0,0.0,3.0,0.0,0.0,14.9,1.6,22.7,4.9,2
55,,Egatpuri,465.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,1.7,0.2,0.0,0.3,0.0,0.0,0.4,0.3,4.2,1.0,8.2,0.3,0.8,9.4,18.9,8.9,4.3,6.9,3.5,69.8,26.8,8
56,,Peth,260.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.1,0.3,0.0,0.0,3.0,0.0,0.0,0.1,1.1,0.0,0.0,0.0,9.9,0.5,0.5,2.4,1.6,19.9,19.8,2
57,,Niphad,100.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,9.8,1.3,0.0,0.0,0.3,0.2,0.1,4.7,0.0,19.3,21.6,2
58,,Sinnar,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.0,24.1,8.0,0.0,0.3,1.2,0.0,4.7,15.8,0.0,61.4,54.6,5
59,,Yevla,112.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,3.6,2.3,0.0,0.0,2.7,1.1,5.2,13.5,0.3,29.4,25.4,4
60,,Chandwad,115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,17.4,20.7,0.0,0.0,0.0,0.0,1.8,12.2,0.3,52.7,20.2,3
61,,Trimbakeshwar,260.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,2.3,0.0,0.0,2.5,21.7,1.0,2.5,10.4,1.0,42.5,36.8,2
62,,Devali,115.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,33.8,2.9,0.0,0.0,1.2,0.0,11.0,0.7,0.0,59.5,45,4
63,Dhule,Dhule,132.2,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,22.7,13.4,3.0,0.0,25.9,14.3,14.2,5.8,14.0,2.3,116.5,114.2,8
64,,Sakri,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,14.9,4.3,1.2,1.3,0.9,2.3,3.4,10.7,4.2,51.7,43.6,6
65,,Shirpur,118.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,7.7,0.0,0.0,10.3,13.9,0.0,1.1,29.9,6.7,79.9,70.3,6
66,,Shindkheda,113.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,10.2,1.3,1.8,11.9,17.4,1.8,5.1,13.0,0.7,77.3,70.4,6
67,Nandurbar,Nandurbar,109.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,11.1,0.0,1.3,3.0,6.0,0.3,7.9,6.0,1.6,43.8,30.5,6
68,,Navapur,143.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,6.2,0.0,11.4,0.0,7.0,2.8,0.6,45.6,40.1,5
69,,Shahada,113.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,3.0,0.0,0.0,8.9,0.0,0.0,14.9,8.8,0.7,44.2,41.6,5
70,,Taloda,106.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,6.8,0.0,0.0,1.0,2.8,0.0,1.8,1.8,8.8,47.5,39.6,4
71,,Akrani,120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,12.3,0.0,1.5,3.3,0.0,0.0,1.0,13.0,10.3,60.2,40.3,5
