Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
202,,Kalamb,8.7,-,-,-,-,-,-,-,-,-,-,12.0, - ,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,20.8,138.7,2
203,,Umarga,15.0,0.0, - ,0.0, - , - , - , - , - , - , - ,3.0, - ,0.0,0.0,0.0,10.0, - ,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,13,86.7,2
204,,Lohara,15.0,-,-,-,-,-,-,-,-,-,-,5.7, - ,0.0,17.3,0.0,26.7, - ,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,49.7,571.3,3
205,,Washi,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - ,3.7, - ,0.0,0.0,11.0,4.3,0.0,1.3,2.0,0.0, - , - , - , - , - , - , - , - , - , - ,22.3,116.1,3
206,Nanded,Nanded,19.2,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
207,,Biloli,17.7,-,-,-,-,-,-,-,-,-,-,-,-,7.2,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,7.2,42.4,1
208,,Mukhed,17.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
209,,Kandhar,9.5,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
210,,Loha,9.5,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
211,,Hadgaon,19.2,0.0,0.0,0.0,0.0, - , - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,1.6,8.3,0
212,,Bhokar,19.2,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
213,,Deglur,17.0,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
214,,Kinwat,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - ,0.0,0.0, - ,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,11,57.3,1
215,,Mudkhed,19.2,-,-,0.0,0.0,0.0, - ,0.0, - , - ,0.0, - , - ,0.0,0.0,1.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,1,5.2,0
216,,Himayat Nagar,19.2,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
217,,Mahur,0.1,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
218,,Dharmabad,17.7,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
219,,Umari,19.2,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
220,,Ardhapur,19.2,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
221,,Naigaon kh,17.7,0.0,0.0,0.0,0.0,0.0, - ,0.0, - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4, - , - , - , - , - , - , - , - , - , - , - , - ,3.4,12.3,1
222,Parabhani,Parbhani,27.7,0.0,0.0,0.0, - , - , - , - , - , - , - ,2.9, - , - ,0.0, - ,0.0,5.1,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,8,102.6,2
223,,Gangakhed,7.8,-,-,-,-,-,-,-,-,-,-,2.5, - , - ,0.5, - ,1.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,4,51.3,0
224,,Pathari,7.8,-,-,-,-,-,-,-,-,-,-,0.0, - , - ,0.0, - ,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
225,,Jintur,17.8,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0, - , - ,0.0, - , - ,0.0, - ,0.0,3.8,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,3.8,21.3,1
226,,Purna,17.8,-,-,-,-,-,-,-,-,-,-,0.0, - , - ,0.0, - ,0.0,1.2,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,1.2,3.1,0
227,,Palam,38.5,-,-,-,-,-,-,-,-,-,-,0.0, - , - ,0.0, - ,1.0,0.0,3.0, - , - , - , - , - , - , - , - , - , - , - , - ,4,51.3,1
228,,Seloo,7.8,-,-,-,-,-,-,-,-,-,-,0.0, - , - ,0.0, - ,0.0,5.8,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,5.8,15.1,1
229,,Sonpeth,38.5,-,-,-,-,-,-,-,-,-,-,9.0, - , - ,0.0, - ,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,9,115.4,1
230,,Manvat,7.8,-,-,-,-,-,-,-,-,-,-,3.0, - , - ,3.0, - ,0.0,5.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,11,52.1,3
231,Hingoli,Hingoli,21.1,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3, - ,5.6,4.0, - , - , - , - , - , - , - , - , - , - , - , - , - ,9.9,67.3,2
