Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
103,,Haveli pune,14.9,0.0, - , - , - , - , - , - , - , - , - ,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,23.8,0
104,,Mulshi paud,10.1,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,34.3,1
105,,Bhor,13.7,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,14.1,0
106,,Maval wadgaon,9.9,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0,8.3,0.4,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,105.6,2
107,,Velhe,10.7,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,80.4,1
108,,Junnar,9.7,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,5.3,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,70.5,1
109,,Khed Rajgurunagar,8.8,0.0, - , - , - , - , - , - , - , - , - ,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,42.6,1
110,,Ambegaon ghodegaon,10.8,0.0, - , - , - , - , - , - , - , - , - ,4.4,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,152,3
111,,Shirur ghodnandi,7.5,0.0, - , - , - , - , - , - , - , - , - ,0.0,2.2,6.7,2.3,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,176.6,1
112,,Baramati,7.7,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.9,0
