Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
66,,Shindkheda,164.0,0.0,0.0,0.0,27.0,0.0,0.0,24.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,16.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,111,47.9,11
67,Nandurbar,Nandurbar,231.7,0.0,0.0,0.0,2.0,0.0,20.0,8.0,1.0,26.0,8.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,15.0,61.0,5.0,0.0,2.0,5.0,2.0,11.0,7.0,2.0,0.0,7.0,0.0,2.0,219,48.6,13
68,,Navapur,450.3,1.0,1.0,7.0,2.0,0.0,3.0,27.0,16.0,44.0,15.0,4.0,74.0,2.0,2.0,0.0,0.0,4.0,1.0,60.0,20.0,2.0,1.0,5.0,9.0,10.0,33.0,15.0,16.0,22.0,0.0,10.0,406,166.5,19
69,,Shahada,243.9,1.0,0.0,0.0,0.0,0.0,12.0,20.0,3.0,12.0,10.0,3.0,1.0,0.0,0.0,1.0,0.0,9.0,28.0,32.0,3.0,0.0,2.0,5.0,1.0,8.0,5.0,3.0,0.0,14.0,0.0,2.0,175,60.7,15
70,,Taloda,288.3,4.0,4.0,0.0,0.0,0.0,11.0,6.0,4.0,31.0,32.0,5.0,22.0,0.0,0.0,3.0,0.0,0.0,8.0,36.0,5.0,0.0,19.0,5.0,0.0,8.0,0.0,0.0,0.0,35.0,0.0,13.0,251,98,18
71,,Akrani,256.0,0.0,0.0,0.0,2.0,0.0,58.0,9.0,6.0,32.0,39.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,24.0,2.0,4.0,5.0,5.0,6.0,0.0,1.0,4.0,7.0,3.0,0.0,308,84.3,16
72,,Akkalkua,365.2,0.0,6.0,14.0,1.0,4.0,5.0,5.0,1.0,43.0,28.0,24.0,28.0,2.0,0.0,2.0,0.0,0.0,0.0,56.0,14.0,0.0,4.0,3.0,4.0,5.0,24.0,9.0,0.0,45.0,14.0,1.0,342,148.8,19
73,Jalgaon,Jalgaon,229.8,0.0,0.0,0.0,0.0,0.0,8.0,14.2,22.8,14.4,1.9,1.0,6.8,0.0,14.5,12.4,4.1,0.0,15.2,15.8,15.8,0.0,0.0,11.9,2.1,5.7,0.8,3.5,43.7,9.0,0.0,43.5,267.1,117.6,17
74,,Bhusawal,227.1,0.0,0.0,0.5,0.0,0.8,7.0,8.2,11.4,11.8,0.0,0.0,1.0,0.0,6.4,1.6,1.3,20.2,42.1,3.5,4.0,0.6,0.0,7.9,2.0,8.2,0.0,3.4,8.0,0.0,1.7,37.9,189.5,84.2,14
75,,Yaval,225.1,0.0,0.0,0.0,0.0,2.4,7.8,13.0,11.2,11.0,0.0,0.0,0.0,0.0,6.6,0.0,3.4,16.0,25.2,13.2,7.4,0.0,0.0,11.0,0.0,4.6,0.0,2.2,41.0,0.0,0.0,13.0,189,100.9,14
