Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
59,,Yevla,81.3,0.0,3.0,3.0,0.0,2.0,18.0,54.0,80.0,12.0,60.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,268,223.3,11
60,,Chandwad,120.0,1.0,9.0,5.2,1.0,21.0,22.0,100.0,60.0,81.0,99.0,5.0,6.1,4.0,7.3,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.1,0.0,0.0,435.7,66,14
61,,Trimbakeshwar,660.0,67.0,74.0,60.0,16.0,21.0,82.0,221.0,175.0,125.0,158.0,70.0,48.0,51.0,32.0,45.0,102.0,38.0,30.0,5.0,8.0,20.0,20.0,47.0,13.0,9.0,13.0,29.0,27.0,21.0,2.0,2.0,1631,1319.6,29
62,,Devali,123.6,3.0,2.0,0.0,3.0,1.0,19.0,42.0,53.0,56.0,66.0,22.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272,200,9
63,Dhule,Dhule,136.0,0.0,0.0,18.0,6.0,12.0,36.0,95.0,11.0,3.0,3.0,2.0,2.0,3.0,19.0,11.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,229,291.7,12
64,,Sakri,78.5,2.0,5.0,20.0,10.0,6.0,11.0,66.0,22.0,9.0,13.0,8.0,6.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,191,109,12
65,,Shirpur,175.2,1.0,23.0,7.0,7.0,14.0,47.0,159.0,34.0,9.0,8.0,18.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340,247.1,12
66,,Shindkheda,137.6,6.0,7.0,4.0,14.0,44.0,59.0,113.0,23.0,5.0,6.0,14.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314,175.8,14
67,Nandurbar,Nandurbar,178.6,4.0,63.0,20.0,17.0,4.0,41.0,169.0,39.0,7.0,9.0,31.0,15.0,12.0,4.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,475,142.9,21
68,,Navapur,332.4,7.0,56.0,85.0,45.0,17.0,8.0,113.0,49.0,10.0,10.0,11.0,6.0,21.0,12.0,3.0,79.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,557,300.6,19
