Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
39,,Dodamarg,357.8,0.0,68.0,0.0,1.0,0.0,0.0,0.0,86.0,12.0,36.0,65.0,29.0,75.0,29.0,26.0,46.0,60.0,46.0,13.0,2.0,20.0,20.0,24.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,690,232.2,18
40,Palghar,Vasai,297.1,0.0,0.0,0.0,0.0,7.0,75.0,7.0,11.0,6.0,49.0,7.0,0.0,3.0,24.0,25.0,50.0,81.0,1.0,19.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405,111.7,14
41,,Wada,362.5,0.0,54.0,0.0,8.0,40.0,0.0,28.0,0.0,9.0,32.0,26.0,2.0,7.0,10.0,60.5,20.0,37.3,13.2,59.5,147.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554,184.9,15
42,,Dahanu,299.7,0.0,0.0,1.1,0.0,5.2,28.0,0.5,44.3,12.0,4.6,2.7,40.3,17.8,2.4,3.8,29.7,18.8,27.9,51.2,10.6,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.1,109.7,15
43,,Palghar,283.6,0.0,0.0,0.0,0.0,19.0,64.8,1.0,0.0,15.2,30.0,7.6,3.4,0.0,21.5,32.0,43.2,8.0,6.1,41.4,65.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.8,73.1,13
44,,Javhar,493.7,0.0,0.0,11.0,0.0,38.0,29.0,22.0,2.0,6.0,46.0,8.0,1.0,21.0,5.0,16.0,21.0,33.0,29.0,46.0,145.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494,134.5,16
45,,Mokhada,367.2,0.0,28.2,23.6,0.0,49.4,15.2,0.2,4.4,1.8,48.8,18.4,1.4,23.0,12.4,43.2,27.0,28.2,21.4,103.8,117.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573,220.7,16
46,,Talasari,259.6,0.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,15.0,35.0,3.0,0.0,18.0,15.0,12.0,18.0,38.0,6.0,92.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,67.4,13
47,,Vikramgad,493.7,0.0,0.0,3.5,3.9,2.1,3.4,0.0,0.0,9.4,17.0, - ,11.1,18.3,8.3,40.5,13.2,21.8,26.3,61.2,95.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8,275.7,14
48,Nasik,Malegaon,121.8,9.0,27.0,0.0,0.0,12.0,0.0,0.0,1.0,8.0,0.0,47.0,5.0,67.0,67.0,0.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,227.7,10
49,,Baglan,123.4,42.0,16.0,1.0,0.0,6.0,32.0,0.0,0.0,20.0,2.0,47.0,12.0,53.0,53.0,5.0,0.0,0.0,0.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346,220.9,12
50,,Kalwan,156.6,38.0,4.0,13.0,33.0,19.0,7.0,4.0,0.0,11.0,14.0,65.0,12.0,90.0,90.0,11.0,1.0,0.0,12.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486,344.7,17
51,,Nandgaon,141.0,31.0,24.0,0.0,0.0,34.0,33.0,17.0,19.0,13.0,0.0,66.0,4.0,155.0,155.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573,177.1,15
52,,Surgana,323.6,0.0,27.0,20.0,71.0,43.0,11.0,25.0,0.0,20.0,1.0,51.0,8.0,102.0,102.0,21.0,6.0,8.0,57.0,54.0,116.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748,460.9,18
53,,Nasik,162.3,14.0,0.0,42.0,13.0,53.0,6.0,2.0,0.0,8.0,20.1,55.0,18.4,127.0,127.0,13.0,7.0,0.5,8.0,32.0,107.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655,457.7,16
54,,Dindori,143.1,2.5,0.0,66.0,6.0,22.0,1.0,4.0,0.0,2.0,73.0,28.0,12.0,152.0,152.0,16.0,6.0,4.0,22.0,8.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.5,136.5,15
55,,Egatpuri,463.4,0.0,1.0,27.0,1.0,15.0,7.0,1.0,11.0,19.0,45.0,31.0,2.0,42.0,42.0,31.0,43.0,68.0,87.0,88.0,243.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824,244.4,16
56,,Peth,337.1,0.0,14.0,5.0,0.0,39.0,4.0,13.0,0.0,8.0,6.0,18.0,8.0,58.0,58.0,74.0,19.0,41.0,40.0,90.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542,428.8,17
57,,Niphad,126.4,14.8,1.5,3.0,0.0,48.0,18.0,2.8,0.0,8.0,11.0,78.0,6.2,90.0,90.0,9.0,12.0,0.0,2.0,2.2,60.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.3,315,14
58,,Sinnar,145.8,18.4,0.0,29.8,42.0,24.0,9.2,9.0,0.0,34.0,13.4,45.0,23.0,37.0,37.0,12.0,2.0,1.0,2.0,2.4,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.2,307.2,14
59,,Yevla,124.4,21.0,3.0,5.0,33.0,14.0,4.0,63.0,18.0,5.0,7.0,78.0,41.0,96.0,96.0,17.0,0.0,0.0,3.0,0.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.6,410.6,17
60,,Chandwad,137.5,62.0,5.0,0.0,20.0,4.0,0.0,0.0,3.0,4.0,5.0,91.0,4.0,65.0,65.0,12.0,7.0,0.0,8.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387,114.8,15
61,,Trimbakeshwar,337.1,0.0,0.0,23.0,0.0,25.0,1.0,0.0,0.0,0.0,74.0,17.0,2.0,56.0,56.0,28.0,18.0,13.0,36.0,48.0,145.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558,417.4,13
62,,Devali,133.7,27.0,9.0,0.0,0.0,31.0,2.0,0.0,1.0,20.0,12.0,77.0,7.0,50.0,50.0,5.0,0.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310,236.1,11
63,Dhule,Dhule,131.3,11.0,0.0,0.0,0.0,5.0,9.0,0.0,14.0,14.0,0.0,9.0,0.0,5.0,72.0,0.0,0.0,0.0,5.0,3.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,161.3,12
64,,Sakri,106.0,0.0,1.0,0.0,12.0,57.0,5.0,1.0,0.0,59.0,46.0,5.0,14.0,2.0,29.0,1.0,0.0,0.0,7.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,212.4,11
65,,Shirpur,122.9,9.0,1.0,31.0,5.0,0.0,9.0,12.0,42.0,37.0,3.0,22.0,14.0,12.0,38.0,2.0,0.0,0.0,12.0,3.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,316.9,16
66,,Shindkheda,93.1,1.0,0.0,2.0,0.0,51.0,0.0,0.0,3.0,6.0,2.0,14.0,4.0,0.0,44.0,7.0,3.0,0.0,4.0,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,129.9,11
67,Nandurbar,Nandurbar,124.7,0.0,52.0,12.0,3.0,40.0,8.0,0.0,0.0,18.0,0.0,15.0,0.0,32.0,38.0,5.0,4.0,10.0,26.0,48.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,172.5,15
68,,Navapur,196.5,0.0,19.0,0.0,0.0,26.0,28.0,0.0,0.0,45.0,1.0,25.0,0.0,40.0,45.0,30.0,23.0,38.0,90.0,138.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596,416.5,13
69,,Shahada,143.1,0.0,0.0,0.0,18.0,28.0,0.0,1.0,6.0,4.0,0.0,9.0,23.0,7.0,14.0,23.0,2.0,10.0,21.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,155.2,13
70,,Taloda,152.1,0.0,0.0,0.0,10.0,13.0,0.0,0.0,16.0,19.0,0.0,9.0,28.0,0.0,22.0,24.0,8.0,9.0,20.0,38.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,130.6,13
71,,Akrani,187.6,0.0,0.0,0.0,8.0,32.0,51.0,0.0,0.0,12.0,1.0,8.0,9.0,0.0,40.0,33.0,2.0,1.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,126.5,10
72,,Akkalkua,170.8,0.0,1.0,0.0,0.0,15.0,4.0,2.0,0.0,7.0,16.0,10.0,0.0,2.0,65.0,26.0,10.0,23.0,9.0,52.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296,251.7,12
73,Jalgaon,Jalgaon,117.6,11.4,2.6,0.0,0.0,15.3,7.9,1.1,1.3,6.9,2.6,49.3,4.0,16.6,26.8,4.6,0.0,0.0,7.8,1.0,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.8,138.7,13
74,,Bhusawal,141.2,7.1,11.0,0.0,6.0,26.0,41.7,0.0,2.0,5.0,3.5,25.6,2.5,4.3,17.8,19.2,0.0,0.0,4.3,0.0,16.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.1,151.1,14
75,,Yaval,131.1,6.0,1.0,0.0,5.6,6.4,12.0,7.0,7.0,18.8,0.0,66.4,0.0,7.0,13.4,11.0,0.0,0.0,6.6,1.4,46.2,0.0,1.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,0.0,231.2,168.4,15
76,,Raver,137.3,23.8,0.0,3.0,1.0,0.0,18.6,0.0,9.2,5.2,3.0,45.4,22.0,0.0,16.8,8.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,140.3,11
77,,Edlabad mukainagar,142.6,4.0,1.7,3.3,4.0,4.0,49.3,9.0,8.3,0.0,1.7,40.0,9.0,5.3,19.3,9.0,0.0,0.0,3.7,0.0,29.7,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,213.3,169.2,15
78,,Amalner,126.1,25.0,2.3,0.0,0.0,9.4,5.0,0.0,4.4,2.4,0.0,27.7,1.4,10.0,100.4,2.9,0.0,0.0,3.6,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.1,169.1,10
79,,Chopda,120.1,16.0,15.0,3.0,8.0,0.0,12.0,25.0,4.0,15.0,0.0,28.0,9.0,15.0,67.0,8.0,0.0,0.0,23.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,205.8,15
80,,Erandol,131.2,5.0,9.0,0.0,0.0,15.0,11.0,20.0,32.0,9.0,2.0,41.0,5.0,18.0,32.0,6.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221,171.7,14
81,,Parola,128.7,19.6,0.6,0.0,0.0,13.6,1.6,1.6,22.8,13.8,0.0,20.6,2.6,32.6,40.8,1.4,0.0,0.0,2.6,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.4,111.8,10
82,,Chalisgaon,172.1,23.0,10.0,0.0,5.5,4.5,31.5,3.0,35.5,31.0,5.5,47.0,16.6,56.7,73.5,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.3,250.2,15
83,,Jamner,143.6,26.5,3.0,0.0,0.0,7.0,44.0,20.0,8.7,12.0,12.0,29.0,1.0,47.0,32.4,2.0,0.0,0.0,4.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.1,150.9,13
84,,Pachora,167.7,0.0,10.0,0.0,4.0,10.0,24.5,19.0,35.0,12.0,1.5,24.0,11.6,52.5,21.2,2.1,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.4,152.3,13
